date,v,n,value
1998-12-24,396.0,6713.0,Spanish universities and the obstacles to development
1998-12-24,396.0,6713.0,Kemp's cultures
1998-12-24,396.0,6713.0,World Bank backs Third World centres of excellence plan
1998-12-24,396.0,6713.0,Germany's nuclear secrets can now be told
1998-12-24,396.0,6713.0,Spanish university sued for favouritism...
1998-12-24,396.0,6713.0,... as new posts created in academic reforms
1998-12-24,396.0,6713.0,Europe bids for molecular biology 'club'
1998-12-24,396.0,6713.0,South Korean researchers under fire for claims of human cloning
1998-12-24,396.0,6713.0,Britain embraces 'knowledge economy'
1998-12-24,396.0,6713.0,Making a case in the corridors of power
1998-12-24,396.0,6713.0,Foresight initiative goes for competitiveness
1998-12-24,396.0,6713.0,Canadian whistleblower row prompts broader code of conduct
1998-12-24,396.0,6713.0,News in Brief
1998-12-24,396.0,6713.0,Is Jerusalem the city in Rome's mural?
1998-12-24,396.0,6713.0,Longevity and the barren aristocrat
1998-12-24,396.0,6713.0,Oceanography:  Something stirs in the deep
1998-12-24,396.0,6713.0,Auditory perception:  Sounds in a virtual world
1998-12-24,396.0,6713.0,100 and 50 years ago
1998-12-24,396.0,6713.0,Electronic databases:  It's good to talk
1998-12-24,396.0,6713.0,Nuclear fusion:  Advanced fuels under debate
1998-12-24,396.0,6713.0,Daedalus:  Brandy and cigars
1998-12-24,396.0,6713.0,Frémiet's frenzy
1998-12-24,396.0,6713.0,Spines and tissues of ancient sharks
1998-12-24,396.0,6713.0,Anoxic bioremediation of hydrocarbons
1998-12-24,396.0,6713.0,"Of snowflakes, symmetries and shells"
1998-12-24,396.0,6713.0,"Life, the Universe and the single mollusc"
1998-12-24,396.0,6713.0,Africa's mistletoes ripe for the picking
1998-12-24,396.0,6713.0,Quantitative test of a microscopic mechanism of high-temperature superconductivity
1998-12-24,396.0,6713.0,Moisture-induced ageing in granular media and the kinetics of capillary condensation
1998-12-24,396.0,6713.0,Coherent moving states in highway traffic
1998-12-24,396.0,6713.0,Elasticity and rheology of iron above 220 GPa and the nature of the Earth's inner core
1998-12-24,396.0,6713.0,Human longevity at the cost of reproductive success
1998-12-24,396.0,6713.0,Role of spectral detail in sound-source localization
